studyid,runid,laneid,plexid
7835,49937,1,137
7835,49989,1,210
7835,49989,2,111
7835,49989,1,174
7835,49990,2,240
7835,49989,1,159
7835,49989,2,283
7835,49937,1,340
7835,49989,1,295
7835,49989,1,267
7835,49989,2,75
7835,49990,1,339
7835,49990,2,39
7835,49989,1,241
7835,49989,1,238
7835,49990,2,12
7835,49989,1,329
7835,49989,2,351
7835,49989,1,124
7835,49937,1,360
7835,49937,1,252
7835,49989,1,79
7835,49990,2,36
7835,49989,1,51
7835,49990,2,210
7835,49990,1,345
7835,49937,1,105
7835,49937,1,114
7835,49989,1,163
7835,49937,1,329
7835,49990,2,51
7835,49990,1,315
7835,49989,2,210
7835,49989,2,227
7835,49989,2,72
7835,49989,2,143
7835,49989,1,236
7835,49990,1,306
7835,49990,2,95
7835,49989,2,198
7835,49937,1,371
7835,49990,2,15
7835,49990,1,384
7835,49990,1,251
7835,49989,1,382
7835,49937,1,209
7835,49989,1,103
7835,49937,1,75
7835,49989,2,300
7835,49989,2,158
7835,49989,2,277
7835,49989,1,226
7835,49989,2,377
7835,49989,2,304
7835,49989,1,369
7835,49937,1,208
7835,49989,2,117
7835,49989,2,135
7835,49989,2,85
7835,49989,2,192
7835,49937,1,169
7835,49989,2,129
7835,49989,2,74
7835,49989,1,23
7835,49989,1,10
7835,49989,1,287
7835,49947,1,61
7835,49947,1,95
7835,49990,1,190
7835,49989,2,122
7835,49990,1,152
7835,49989,1,185
7835,49989,2,109
7835,49989,2,292
7835,49989,2,180
7835,49937,1,230
7835,49937,1,217
7835,49989,2,270
7835,49990,2,77
7835,49947,1,243
7835,49989,1,101
7835,49989,2,57
7835,49937,1,43
7835,49989,1,87
7835,49947,1,187
7835,49989,1,301
7835,49937,1,314
7835,49990,2,317
7835,49937,1,287
7835,49990,2,134
7835,49989,1,157
7835,49990,2,193
7835,49947,1,283
7835,49989,1,100
7835,49937,1,381
7835,49990,1,348
7835,49990,2,222
7835,49937,1,45
7835,49989,2,15
7835,49989,2,219
7835,49990,2,130
7835,49990,2,218
7835,49937,1,236
7835,49990,1,182
7835,49947,1,86
7835,49989,2,19
7835,49937,1,47
7835,49937,1,58
7835,49937,1,175
7835,49989,1,231
7835,49937,1,94
7835,49989,2,234
7835,49937,1,233
7835,49989,1,206
7835,49947,1,287
7835,49989,1,114
7835,49989,1,306
7835,49989,2,153
7835,49989,2,112
7835,49937,1,366
7835,49990,2,123
7835,49990,2,145
7835,49937,1,3
7835,49990,1,191
7835,49990,1,211
7835,49990,1,382
7835,49989,1,59
7835,49937,1,367
7835,49989,2,86
7835,49990,2,132
7835,49937,1,98
7835,49937,1,355
7835,49989,2,268
7835,49989,2,163
7835,49990,2,171
7835,49990,1,117
7835,49990,1,88
7835,49937,1,298
7835,49937,1,264
7835,49990,1,350
7835,49989,2,34
7835,49947,1,120
7835,49937,1,204
7835,49990,2,37
7835,49990,1,114
7835,49989,2,173
7835,49989,2,244
7835,49989,2,275
7835,49989,2,145
7835,49989,1,368
7835,49937,1,56
7835,49937,1,189
7835,49989,2,110
7835,49990,2,63
7835,49947,1,342
7835,49989,1,362
7835,49989,1,293
7835,49947,1,351
7835,49989,2,35
7835,49989,1,134
7835,49990,2,283
7835,49990,2,127
7835,49937,1,134
7835,49937,1,348
7835,49990,2,165
7835,49947,1,22
7835,49937,1,140
7835,49990,2,8
7835,49990,2,7
7835,49989,2,205
7835,49989,2,352
7835,49989,2,363
7835,49989,2,190
7835,49947,1,220
7835,49989,2,100
7835,49990,1,288
7835,49989,2,379
7835,49990,1,86
7835,49989,1,356
7835,49989,2,255
7835,49989,2,215
7835,49937,1,39
7835,49947,1,376
7835,49990,1,187
7835,49989,2,209
7835,49990,1,273
7835,49989,1,32
7835,49989,2,107
7835,49989,1,47
7835,49990,2,117
7835,49989,2,10
7835,49947,1,24
7835,49990,2,282
7835,49990,2,59
7835,49947,1,62
7835,49990,2,103
7835,49990,2,244
7835,49990,2,231
7835,49989,2,237
7835,49989,1,102
7835,49937,1,330
7835,49937,1,150
7835,49990,1,127
7835,49937,1,106
7835,49937,1,336
7835,49937,1,251
7835,49937,1,112
7835,49990,1,156
7835,49989,2,196
7835,49990,1,371
7835,49937,1,380
7835,49990,1,381
7835,49989,2,140
7835,49947,1,256
7835,49937,1,282
7835,49937,1,185
7835,49937,1,219
7835,49937,1,284
7835,49937,1,339
7835,49990,1,372
7835,49989,2,240
7835,49989,1,137
7835,49937,1,224
7835,49937,1,188
7835,49990,1,218
7835,49989,2,39
7835,49990,2,29
7835,49990,2,93
7835,49937,1,182
7835,49937,1,194
7835,49990,2,290
7835,49990,2,167
7835,49989,1,155
7835,49937,1,91
7835,49989,1,108
7835,49990,1,155
7835,49989,1,335
7835,49937,1,222
7835,49990,2,140
7835,49989,1,251
7835,49989,1,144
7835,49989,1,160
7835,49989,2,54
7835,49937,1,130
7835,49989,2,365
7835,49989,1,33
7835,49947,1,251
7835,49990,2,101
7835,49989,2,95
7835,49937,1,379
7835,49937,1,206
7835,49937,1,243
7835,49947,1,378
7835,49989,1,358
7835,49947,1,114
7835,49937,1,223
7835,49989,2,149
7835,49937,1,35
7835,49989,1,151
7835,49989,1,373
7835,49989,1,359
7835,49937,1,34
7835,49989,2,62
7835,49990,1,20
7835,49937,1,303
7835,49989,1,323
7835,49937,1,139
7835,49990,2,44
7835,49989,2,245
7835,49937,1,132
7835,49989,2,280
7835,49989,1,284
7835,49989,2,358
7835,49990,2,285
7835,49947,1,310
7835,49989,1,136
7835,49989,1,17
7835,49937,1,228
7835,49937,1,82
7835,49989,1,72
7835,49989,1,93
7835,49937,1,60
7835,49937,1,229
7835,49937,1,2
7835,49947,1,223
7835,49990,1,89
7835,49947,1,218
7835,49989,2,164
7835,49990,1,286
7835,49947,1,250
7835,49989,2,208
7835,49989,1,332
7835,49990,1,280
7835,49989,1,109
7835,49937,1,335
7835,49989,1,25
7835,49989,2,243
7835,49947,1,375
7835,49947,1,151
7835,49989,1,233
7835,49989,1,129
7835,49990,1,312
7835,49989,2,23
7835,49990,1,185
7835,49990,1,32
7835,49937,1,177
7835,49937,1,192
7835,49990,2,211
7835,49947,1,315
7835,49989,2,29
7835,49990,1,246
7835,49989,1,280
7835,49990,1,154
7835,49989,1,55
7835,49990,2,197
7835,49989,1,16
7835,49989,2,1
7835,49990,2,106
7835,49989,2,88
7835,49937,1,33
7835,49989,2,235
7835,49947,1,84
7835,49990,2,233
7835,49937,1,122
7835,49989,2,232
7835,49989,1,339
7835,49937,1,319
7835,49989,1,116
7835,49937,1,278
7835,49990,2,288
7835,49989,1,248
7835,49947,1,278
7835,49990,2,292
7835,49989,1,221
7835,49937,1,261
7835,49989,1,50
7835,49937,1,260
7835,49989,1,178
7835,49989,1,30
7835,49990,1,374
7835,49990,2,268
7835,49937,1,326
7835,49989,2,272
7835,49937,1,293
7835,49989,2,68
7835,49937,1,116
7835,49990,2,97
7835,49937,1,83
7835,49989,1,65
7835,49937,1,312
7835,49937,1,5
7835,49990,2,245
7835,49947,1,91
7835,49937,1,8
7835,49989,1,219
7835,49989,1,188
7835,49990,2,17
7835,49989,2,338
7835,49947,1,18
7835,49989,2,41
7835,49937,1,121
7835,49990,1,188
7835,49990,2,87
7835,49989,1,99
7835,49989,1,2
7835,49989,1,152
7835,49937,1,364
7835,49937,1,27
7835,49990,2,159
7835,49990,1,318
7835,49989,2,271
7835,49990,1,245
7835,49989,2,375
7835,49989,1,281
7835,49989,1,22
7835,49947,1,160
7835,49989,2,341
7835,49989,2,119
7835,49937,1,31
7835,49989,1,286
7835,49947,1,28
7835,49989,2,21
7835,49989,1,252
7835,49937,1,153
7835,49989,2,116
7835,49989,2,101
7835,49937,1,238
7835,49989,2,108
7835,49990,2,1
7835,49989,1,153
7835,49990,1,249
7835,49937,1,52
7835,49989,1,242
7835,49989,2,206
7835,49990,1,122
7835,49990,2,262
7835,49989,1,18
7835,49989,1,82
7835,49989,1,327
7835,49989,1,90
7835,49990,2,241
7835,49989,2,246
7835,49989,1,247
7835,49989,2,184
7835,49947,1,338
7835,49989,2,8
7835,49989,2,65
7835,49947,1,213
7835,49990,2,65
7835,49937,1,220
7835,49937,1,277
7835,49937,1,237
7835,49937,1,25
7835,49989,1,384
7835,49989,2,103
7835,49989,1,277
7835,49989,2,175
7835,49989,2,155
7835,49989,1,283
7835,49989,1,1
7835,49989,1,106
7835,49947,1,188
7835,49990,2,129
7835,49989,1,83
7835,49937,1,165
7835,49947,1,339
7835,49990,2,73
7835,49937,1,37
7835,49989,1,225
7835,49989,1,198
7835,49989,1,213
7835,49989,1,64
7835,49947,1,248
7835,49947,1,319
7835,49989,1,310
7835,49947,1,309
7835,49989,1,46
7835,49989,2,194
7835,49989,1,52
7835,49947,1,149
7835,49990,2,25
7835,49989,1,147
7835,49990,1,145
7835,49937,1,382
7835,49989,1,131
7835,49989,1,122
7835,49990,1,84
7835,49937,1,271
7835,49989,2,342
7835,49989,1,38
7835,49937,1,73
7835,49990,1,91
7835,49990,1,147
7835,49937,1,334
7835,49990,2,172
7835,49989,2,225
7835,49990,2,213
7835,49990,2,131
7835,49990,2,305
7835,49989,2,328
7835,49990,1,277
7835,49947,1,89
7835,49937,1,44
7835,49937,1,181
7835,49990,1,305
7835,49990,2,142
7835,49937,1,307
7835,49947,1,343
7835,49989,2,344
7835,49989,1,67
7835,49989,1,320
7835,49990,1,116
7835,49989,1,383
7835,49989,1,149
7835,49989,1,181
7835,49989,2,170
7835,49990,1,341
7835,49989,1,375
7835,49989,2,167
7835,49989,2,317
7835,49947,1,224
7835,49947,1,274
7835,49989,1,118
7835,49989,2,250
7835,49989,1,232
7835,49989,1,98
7835,49989,2,13
7835,49989,2,366
7835,49989,1,112
7835,49937,1,383
7835,49989,2,25
7835,49990,1,160
7835,49990,2,111
7835,49937,1,249
7835,49989,2,168
7835,49937,1,323
7835,49989,2,199
7835,49989,2,201
7835,49937,1,69
7835,49989,2,334
7835,49989,1,224
7835,49947,1,147
7835,49990,1,92
7835,49947,1,317
7835,49937,1,129
7835,49989,1,230
7835,49990,2,66
7835,49989,2,378
7835,49947,1,179
7835,49989,2,115
7835,49937,1,350
7835,49990,1,276
7835,49990,1,151
7835,49989,2,70
7835,49990,1,307
7835,49947,1,255
7835,49990,1,220
7835,49990,2,14
7835,49989,1,44
7835,49989,1,371
7835,49947,1,374
7835,49990,1,347
7835,49990,2,115
7835,49990,1,275
7835,49990,1,219
7835,49989,1,370
7835,49989,2,258
7835,49989,2,193
7835,49937,1,273
7835,49989,2,302
7835,49990,2,13
7835,49989,2,121
7835,49937,1,193
7835,49990,2,310
7835,49990,2,40
7835,49990,1,383
7835,49937,1,269
7835,49990,1,126
7835,49989,2,53
7835,49989,2,384
7835,49990,2,67
7835,49990,2,187
7835,49937,1,345
7835,49990,1,284
7835,49989,2,231
7835,49989,2,144
7835,49989,2,33
7835,49990,2,163
7835,49989,2,335
7835,49990,2,289
7835,49989,2,84
7835,49989,2,22
7835,49989,1,71
7835,49989,1,76
7835,49937,1,346
7835,49989,1,355
7835,49989,2,236
7835,49989,2,361
7835,49989,2,120
7835,49937,1,102
7835,49937,1,203
7835,49947,1,152
7835,49989,2,49
7835,49947,1,217
7835,49989,2,278
7835,49989,2,186
7835,49990,1,222
7835,49989,2,265
7835,49989,2,330
7835,49990,2,232
7835,49990,2,215
7835,49989,2,282
7835,49990,2,242
7835,49947,1,127
7835,49989,1,191
7835,49990,1,379
7835,49989,2,238
7835,49989,1,105
7835,49990,1,177
7835,49937,1,322
7835,49947,1,286
7835,49990,2,34
7835,49990,1,50
7835,49947,1,346
7835,49989,1,263
7835,49937,1,136
7835,49989,2,97
7835,49989,1,194
7835,49990,1,221
7835,49937,1,353
7835,49989,1,26
7835,49989,1,256
7835,49990,1,319
7835,49990,2,235
7835,49937,1,92
7835,49937,1,256
7835,49937,1,96
7835,49990,2,219
7835,49937,1,38
7835,49937,1,120
7835,49990,1,373
7835,49937,1,68
7835,49990,1,338
7835,49989,2,59
7835,49937,1,10
7835,49937,1,253
7835,49990,2,3
7835,49989,2,18
7835,49947,1,148
7835,49989,1,298
7835,49937,1,36
7835,49989,2,314
7835,49989,2,46
7835,49947,1,337
7835,49989,1,264
7835,49989,2,284
7835,49990,2,35
7835,49989,1,260
7835,49989,2,316
7835,49990,1,22
7835,49947,1,117
7835,49989,1,340
7835,49937,1,304
7835,49989,1,12
7835,49990,2,286
7835,49989,1,115
7835,49990,2,303
7835,49990,2,79
7835,49947,1,246
7835,49989,1,366
7835,49947,1,88
7835,49937,1,65
7835,49937,1,144
7835,49989,2,252
7835,49990,2,74
7835,49990,2,312
7835,49989,1,234
7835,49989,2,91
7835,49989,1,85
7835,49937,1,325
7835,49989,2,364
7835,49990,1,282
7835,49989,2,202
7835,49990,2,174
7835,49937,1,318
7835,49937,1,72
7835,49989,1,49
7835,49947,1,82
7835,49989,1,166
7835,49990,1,58
7835,49989,1,377
7835,49937,1,327
7835,49937,1,317
7835,49989,1,97
7835,49989,1,167
7835,49989,2,241
7835,49990,2,99
7835,49947,1,314
7835,49989,1,176
7835,49937,1,149
7835,49947,1,32
7835,49937,1,250
7835,49989,2,305
7835,49990,1,243
7835,49947,1,190
7835,49937,1,281
7835,49989,1,253
7835,49989,1,360
7835,49989,1,113
7835,49947,1,305
7835,49989,1,354
7835,49989,2,131
7835,49937,1,59
7835,49989,1,331
7835,49989,2,31
7835,49937,1,292
7835,49989,2,374
7835,49989,2,105
7835,49937,1,164
7835,49937,1,21
7835,49937,1,279
7835,49990,1,83
7835,49989,2,337
7835,49937,1,186
7835,49937,1,258
7835,49989,2,239
7835,49989,2,69
7835,49989,1,158
7835,49937,1,338
7835,49937,1,87
7835,49937,1,315
7835,49989,2,220
7835,49989,1,349
7835,49937,1,162
7835,49990,1,123
7835,49989,1,63
7835,49937,1,176
7835,49989,2,312
7835,49937,1,110
7835,49990,2,43
7835,49990,1,146
7835,49989,2,251
7835,49989,2,307
7835,49990,2,196
7835,49937,1,306
7835,49989,2,151
7835,49947,1,20
7835,49989,2,348
7835,49989,2,229
7835,49989,2,293
7835,49937,1,126
7835,49947,1,379
7835,49937,1,210
7835,49989,1,199
7835,49947,1,64
7835,49989,1,240
7835,49990,1,59
7835,49989,2,80
7835,49990,2,71
7835,49989,1,5
7835,49990,1,314
7835,49990,2,293
7835,49989,2,329
7835,49989,2,301
7835,49947,1,318
7835,49989,1,184
7835,49989,1,361
7835,49937,1,351
7835,49989,2,200
7835,49989,1,259
7835,49937,1,124
7835,49990,1,252
7835,49989,1,311
7835,49989,2,178
7835,49990,2,113
7835,49990,2,70
7835,49947,1,384
7835,49937,1,163
7835,49990,2,83
7835,49989,1,353
7835,49947,1,126
7835,49937,1,311
7835,49989,2,134
7835,49937,1,196
7835,49989,2,187
7835,49990,2,55
7835,49947,1,352
7835,49989,2,182
7835,49989,1,209
7835,49947,1,116
7835,49937,1,324
7835,49989,2,274
7835,49989,2,346
7835,49947,1,212
7835,49989,2,147
7835,49990,1,279
7835,49947,1,350
7835,49989,1,21
7835,49989,1,348
7835,49947,1,214
7835,49989,2,92
7835,49989,2,191
7835,49990,2,314
7835,49937,1,215
7835,49989,2,197
7835,49990,2,309
7835,49989,2,290
7835,49937,1,187
7835,49947,1,308
7835,49989,2,315
7835,49989,2,322
7835,49990,1,148
7835,49989,1,123
7835,49990,2,192
7835,49989,2,172
7835,49989,2,124
7835,49989,1,192
7835,49989,1,19
7835,49989,2,222
7835,49990,2,42
7835,49990,1,253
7835,49989,1,56
7835,49990,2,138
7835,49990,2,195
7835,49947,1,182
7835,49989,2,260
7835,49990,1,346
7835,49989,2,48
7835,49990,1,256
7835,49947,1,313
7835,49990,2,281
7835,49937,1,30
7835,49989,1,58
7835,49937,1,247
7835,49990,1,340
7835,49989,2,9
7835,49937,1,310
7835,49989,1,130
7835,49990,2,318
7835,49947,1,215
7835,49989,2,45
7835,49990,2,263
7835,49989,2,27
7835,49989,2,73
7835,49990,2,125
7835,49947,1,155
7835,49937,1,218
7835,49989,1,107
7835,49947,1,59
7835,49989,2,169
7835,49990,1,380
7835,49989,1,289
7835,49989,1,303
7835,49937,1,308
7835,49990,2,308
7835,49990,2,81
7835,49990,1,213
7835,49989,2,333
7835,49990,2,280
7835,49989,1,48
7835,49990,2,270
7835,49989,1,28
7835,49989,2,195
7835,49937,1,199
7835,49947,1,154
7835,49937,1,133
7835,49937,1,89
7835,49990,1,158
7835,49989,2,345
7835,49947,1,30
7835,49989,2,349
7835,49990,1,250
7835,49990,1,96
7835,49989,2,372
7835,49989,1,146
7835,49990,2,72
7835,49989,1,342
7835,49937,1,161
7835,49937,1,331
7835,49947,1,276
7835,49989,2,242
7835,49990,2,109
7835,49990,1,28
7835,49989,2,132
7835,49990,1,186
7835,49937,1,4
7835,49989,1,381
7835,49989,2,254
7835,49937,1,6
7835,49937,1,332
7835,49937,1,263
7835,49937,1,235
7835,49989,2,24
7835,49989,2,165
7835,49989,1,282
7835,49989,1,326
7835,49989,2,320
7835,49989,2,211
7835,49989,1,341
7835,49937,1,148
7835,49989,2,133
7835,49989,2,150
7835,49989,1,288
7835,49989,1,207
7835,49990,1,57
7835,49937,1,67
7835,49989,2,285
